Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
R.B.I. Baseball 15,2015.0,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0
The Walking Dead: Michonne,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Unravel,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Tachyon Project,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0
Goosebumps: The Game,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
The Escapists: The Walking Dead,2015.0,Action,Team17 Software,0.0,0.0,0.0,0.0,0.0
Woodcutter Simulator 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
Professional Farmer 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
Professional Lumberjack 2016,2015.0,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
Alekhine's Gun,2016.0,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0
World to the West,2017.0,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0
The Binding of Isaac: Rebirth,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Super Dungeon Bros,2016.0,Action,Wired Productions,0.0,0.0,0.0,0.0,0.0
Pro Cycling Manager 2016,2016.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
De-formers,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Wonder Boy: The Dragon's Trap (Remake),2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0
Rock of Ages II: Bigger and Boulder,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
Fe,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0
We Sing (2016),2016.0,Music,THQ Nordic,0.0,0.0,0.0,0.0,0.0
Don Bradman Cricket 17,2016.0,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0
Ace Combat 7: Skies Unknown,2019.0,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0
The Sexy Brutale,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0
Metro Exodus,2019.0,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0
Anthem,2019.0,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0
AereA,2017.0,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0
Moons Of Madness,2018.0,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0
Iron Harvest,2018.0,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0
Biomutant,2018.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
Biomutant,2019.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
de Blob,2017.0,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0
Outcast: Second Contact,2017.0,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0
Code Vein,2019.0,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0
